id,name,score,score2
184,Student184,57,88
185,Student185,84,53
186,Student186,56,88
187,Student187,97,59
188,Student188,94,55
189,Student189,66,71
190,Student190,70,61
191,Student191,52,78
192,Student192,50,55
193,Student193,87,87
194,Student194,98,83
195,Student195,50,94
196,Student196,75,95
197,Student197,87,100
198,Student198,66,59
199,Student199,68,59
200,Student200,50,100
201,Student201,77,87
202,Student202,75,66
203,Student203,73,69
204,Student204,78,87
205,Student205,91,63
206,Student206,77,100
207,Student207,74,87
208,Student208,100,83
209,Student209,88,90
210,Student210,51,65
211,Student211,74,77
212,Student212,83,53
213,Student213,65,59
214,Student214,83,83
215,Student215,79,80
216,Student216,79,55
217,Student217,79,58
218,Student218,62,83
219,Student219,65,99
220,Student220,76,58
221,Student221,51,100
222,Student222,87,78
223,Student223,96,77
224,Student224,72,88
225,Student225,63,80
226,Student226,66,73
227,Student227,52,73
228,Student228,89,82
229,Student229,60,52
230,Student230,80,60
231,Student231,88,78
232,Student232,76,89
233,Student233,50,87
234,Student234,74,90
235,Student235,97,79
236,Student236,100,58
237,Student237,73,86
238,Student238,99,84
239,Student239,64,64
240,Student240,62,66
241,Student241,55,97
242,Student242,98,74
243,Student243,74,65
244,Student244,66,90
245,Student245,71,75
246,Student246,82,84
247,Student247,87,76
248,Student248,99,78
249,Student249,57,59
250,Student250,68,68
251,Student251,74,88
252,Student252,67,65
253,Student253,56,92
254,Student254,59,71
255,Student255,59,58
256,Student256,99,89
257,Student257,51,85
258,Student258,65,56
259,Student259,90,87
260,Student260,78,55
261,Student261,90,54
262,Student262,55,85
263,Student263,75,52
264,Student264,67,67
265,Student265,72,70
266,Student266,53,56
267,Student267,61,70
268,Student268,65,79
269,Student269,83,68
270,Student270,74,76
271,Student271,99,56
272,Student272,87,58
273,Student273,92,57
274,Student274,95,55
275,Student275,65,51
276,Student276,64,56
277,Student277,61,75
278,Student278,55,65
279,Student279,86,60
280,Student280,67,92
281,Student281,79,68
282,Student282,50,64
283,Student283,84,63
284,Student284,72,68
285,Student285,67,60
286,Student286,67,93
287,Student287,51,72
288,Student288,89,74
289,Student289,60,92
290,Student290,99,61
291,Student291,79,91
292,Student292,93,68
293,Student293,80,61
294,Student294,58,82
295,Student295,51,79
296,Student296,69,59
297,Student297,78,62
298,Student298,82,96
299,Student299,87,86
300,Student300,81,55
301,Student301,66,86
302,Student302,79,82
303,Student303,52,84
304,Student304,52,98
305,Student305,83,87
306,Student306,62,52
307,Student307,53,97
308,Student308,89,95
309,Student309,95,57
310,Student310,92,68
311,Student311,65,63
312,Student312,72,57
313,Student313,55,89
314,Student314,95,91
315,Student315,73,73
316,Student316,63,84
317,Student317,91,95
318,Student318,81,95
319,Student319,89,96
320,Student320,78,74
321,Student321,50,90
322,Student322,98,95
323,Student323,84,95
324,Student324,68,99
325,Student325,65,52
326,Student326,55,80
327,Student327,51,51
328,Student328,93,77
329,Student329,77,94
330,Student330,85,69
331,Student331,85,72
332,Student332,59,77
333,Student333,53,94
334,Student334,81,59
335,Student335,71,90
336,Student336,59,62
337,Student337,97,67
338,Student338,96,98
339,Student339,54,84
340,Student340,91,72
341,Student341,66,86
342,Student342,55,65
343,Student343,61,75
344,Student344,59,63
345,Student345,93,75
346,Student346,93,87
347,Student347,60,86
348,Student348,95,86
349,Student349,79,97
350,Student350,76,89
351,Student351,75,56
352,Student352,51,79
353,Student353,56,51
354,Student354,68,71
355,Student355,64,63
356,Student356,61,54
357,Student357,75,71
358,Student358,73,77
359,Student359,50,54
360,Student360,84,87
361,Student361,62,71
362,Student362,86,84
363,Student363,93,85
364,Student364,84,75
365,Student365,63,88
366,Student366,57,65
367,Student367,95,64
368,Student368,67,98
369,Student369,83,86
370,Student370,78,71
371,Student371,77,68
372,Student372,93,76
373,Student373,87,82
374,Student374,85,82
375,Student375,70,76
376,Student376,61,54
377,Student377,51,71
378,Student378,86,81
379,Student379,80,75
380,Student380,52,88
381,Student381,63,61
382,Student382,91,72
383,Student383,98,77
384,Student384,75,58
385,Student385,66,51
386,Student386,96,98
387,Student387,67,91
388,Student388,72,72
389,Student389,69,72
390,Student390,62,61
391,Student391,53,60
392,Student392,57,92
393,Student393,59,74
394,Student394,52,59
395,Student395,95,67
396,Student396,70,53
397,Student397,96,82
398,Student398,54,66
399,Student399,82,63
400,Student400,78,66
401,Student401,92,67
402,Student402,79,83
403,Student403,60,54
404,Student404,78,94
405,Student405,63,87
406,Student406,85,77
407,Student407,57,81
408,Student408,94,73
409,Student409,73,85
410,Student410,86,51
411,Student411,86,61
412,Student412,89,94
413,Student413,73,100
414,Student414,87,58
415,Student415,72,60
416,Student416,87,62
417,Student417,70,65
418,Student418,62,82
419,Student419,53,64
420,Student420,91,100
421,Student421,93,100
422,Student422,54,55
423,Student423,62,88
424,Student424,76,94
425,Student425,50,87
426,Student426,92,56
427,Student427,58,50
428,Student428,95,54
429,Student429,76,100
430,Student430,83,93
431,Student431,73,61
432,Student432,62,52
433,Student433,93,62
434,Student434,73,66
435,Student435,88,75
436,Student436,71,74
437,Student437,67,53
438,Student438,79,51
439,Student439,74,65
440,Student440,74,57
441,Student441,81,54
442,Student442,81,52
443,Student443,72,59
444,Student444,85,76
445,Student445,89,69
446,Student446,59,50
447,Student447,72,100
448,Student448,51,69
449,Student449,53,89
450,Student450,94,96
451,Student451,79,78
452,Student452,56,85
453,Student453,70,68
454,Student454,76,81
455,Student455,94,97
456,Student456,79,87
457,Student457,92,91
458,Student458,63,76
459,Student459,86,68
460,Student460,86,72
461,Student461,68,100
462,Student462,59,68
463,Student463,79,52
464,Student464,87,52
465,Student465,79,78
466,Student466,74,94
467,Student467,62,71
468,Student468,95,65
469,Student469,96,62
470,Student470,53,86
471,Student471,66,92
472,Student472,85,79
473,Student473,74,67
474,Student474,92,64
475,Student475,51,99
476,Student476,100,94
477,Student477,72,97
478,Student478,68,53
479,Student479,74,97
480,Student480,70,81
481,Student481,96,82
482,Student482,60,77
483,Student483,90,63
484,Student484,69,98
485,Student485,95,65
486,Student486,95,88
487,Student487,66,52
488,Student488,62,94
489,Student489,99,80
490,Student490,58,82
491,Student491,79,88
492,Student492,51,91
493,Student493,78,80
494,Student494,83,99
495,Student495,77,52
496,Student496,79,95
497,Student497,52,94
498,Student498,51,66
499,Student499,67,98
500,Student500,96,55
501,Student501,65,51
502,Student502,51,52
503,Student503,62,85
504,Student504,84,56
505,Student505,85,93
506,Student506,54,69
507,Student507,71,56
508,Student508,98,82
509,Student509,63,99
510,Student510,53,78
511,Student511,89,91
512,Student512,98,93
513,Student513,79,92
514,Student514,86,96
515,Student515,56,74
516,Student516,64,79
517,Student517,58,90
518,Student518,53,83
519,Student519,93,72
520,Student520,59,93
521,Student521,98,58
522,Student522,66,50
523,Student523,59,50
524,Student524,61,100
525,Student525,51,99
526,Student526,56,80
527,Student527,75,72
528,Student528,62,64
529,Student529,65,63
530,Student530,70,61
531,Student531,53,73
532,Student532,89,65
533,Student533,82,67
534,Student534,96,62
535,Student535,56,71
536,Student536,90,100
537,Student537,53,68
538,Student538,95,83
539,Student539,65,86
540,Student540,57,95
541,Student541,52,86
542,Student542,94,52
543,Student543,72,83
544,Student544,66,87
545,Student545,76,92
546,Student546,58,81
547,Student547,59,95
548,Student548,56,85
549,Student549,100,70
550,Student550,82,94
551,Student551,96,88
552,Student552,86,69
553,Student553,79,99
554,Student554,99,95
555,Student555,89,86
556,Student556,55,95
557,Student557,89,93
558,Student558,74,90
559,Student559,80,89
560,Student560,74,96
561,Student561,80,69
562,Student562,88,71
563,Student563,71,84
564,Student564,96,82
565,Student565,50,66
566,Student566,77,67
567,Student567,72,90
568,Student568,99,84
569,Student569,96,59
570,Student570,65,58
571,Student571,96,58
572,Student572,99,62
573,Student573,70,91
574,Student574,72,86
575,Student575,97,62
576,Student576,81,67
577,Student577,83,82
578,Student578,85,54
579,Student579,60,83
580,Student580,81,74
581,Student581,100,99
582,Student582,91,80
583,Student583,57,80
584,Student584,84,72
585,Student585,52,80
586,Student586,67,99
587,Student587,89,90
588,Student588,98,58
589,Student589,89,93
590,Student590,87,54
591,Student591,72,53
592,Student592,91,59
593,Student593,75,84
594,Student594,65,94
595,Student595,100,96
596,Student596,79,51
597,Student597,76,71
598,Student598,51,71
599,Student599,56,88
600,Student600,95,99
601,Student601,70,81
602,Student602,78,71
603,Student603,51,76
604,Student604,64,89
605,Student605,52,97
606,Student606,59,95
607,Student607,85,97
608,Student608,88,53
609,Student609,53,77
610,Student610,63,73
611,Student611,88,97
612,Student612,60,90
613,Student613,94,61
614,Student614,75,73
615,Student615,54,83
616,Student616,78,60
617,Student617,74,91
618,Student618,81,81
619,Student619,84,56
620,Student620,53,99
621,Student621,64,76
622,Student622,98,58
623,Student623,76,81
624,Student624,52,75
625,Student625,58,60
626,Student626,56,60
627,Student627,83,61
628,Student628,85,55
629,Student629,98,81
630,Student630,98,97
631,Student631,84,88
632,Student632,55,58
633,Student633,68,56
634,Student634,72,59
635,Student635,92,86
636,Student636,55,64
637,Student637,65,68
638,Student638,94,96
639,Student639,72,97
640,Student640,96,94
641,Student641,100,86
642,Student642,74,85
643,Student643,76,94
644,Student644,92,84
645,Student645,93,99
646,Student646,91,64
647,Student647,60,81
648,Student648,80,100
649,Student649,79,93
650,Student650,83,66
651,Student651,56,80
652,Student652,77,50
653,Student653,71,65
654,Student654,86,55
655,Student655,67,55
656,Student656,66,99
657,Student657,65,89
658,Student658,65,85
659,Student659,86,80
660,Student660,58,89
661,Student661,96,55
662,Student662,71,87
663,Student663,85,94
664,Student664,90,87
665,Student665,54,52
666,Student666,92,79
667,Student667,96,65
668,Student668,99,87
669,Student669,65,87
670,Student670,75,58
671,Student671,84,91
672,Student672,83,73
673,Student673,63,80
674,Student674,82,70
675,Student675,50,76
676,Student676,82,96
677,Student677,83,66
678,Student678,53,83
679,Student679,60,55
680,Student680,62,98
681,Student681,93,54
682,Student682,86,59
683,Student683,85,61
684,Student684,62,99
685,Student685,81,70
686,Student686,66,99
687,Student687,59,61
688,Student688,63,70
689,Student689,62,92
690,Student690,78,87
691,Student691,70,80
692,Student692,62,52
693,Student693,70,96
694,Student694,78,86
695,Student695,78,54
696,Student696,56,94
697,Student697,93,69
698,Student698,92,56
699,Student699,74,60
700,Student700,56,92
701,Student701,95,62
702,Student702,61,50
703,Student703,99,73
704,Student704,59,58
705,Student705,81,70
706,Student706,90,59
707,Student707,53,88
708,Student708,53,96
709,Student709,93,54
710,Student710,86,71
711,Student711,97,65
712,Student712,52,61
713,Student713,74,51
714,Student714,51,57
715,Student715,100,91
716,Student716,51,85
717,Student717,91,61
718,Student718,59,91
719,Student719,72,75
720,Student720,60,87
721,Student721,93,79
722,Student722,53,68
723,Student723,67,61
724,Student724,89,52
725,Student725,64,58
726,Student726,64,91
727,Student727,82,76
728,Student728,74,91
729,Student729,68,54
730,Student730,57,50
731,Student731,59,75
732,Student732,56,71
733,Student733,83,97
734,Student734,76,83
735,Student735,97,60
736,Student736,73,77
737,Student737,87,91
738,Student738,64,85
739,Student739,96,54
740,Student740,60,65
741,Student741,58,55
742,Student742,50,97
743,Student743,58,100
744,Student744,66,80
745,Student745,86,91
746,Student746,54,77
747,Student747,90,72
748,Student748,100,94
749,Student749,83,59
750,Student750,63,71
751,Student751,79,64
752,Student752,88,76
753,Student753,91,78
754,Student754,52,52
755,Student755,61,61
756,Student756,87,74
757,Student757,68,52
758,Student758,69,84
759,Student759,97,75
760,Student760,52,64
761,Student761,78,55
762,Student762,90,57
763,Student763,89,56
764,Student764,51,72
765,Student765,60,93
766,Student766,97,78
767,Student767,50,66
768,Student768,60,72
769,Student769,100,80
770,Student770,54,93
771,Student771,88,86
772,Student772,54,72
773,Student773,78,83
774,Student774,56,50
775,Student775,53,76
776,Student776,80,68
777,Student777,80,56
778,Student778,87,56
779,Student779,99,51
780,Student780,92,69
781,Student781,82,82
782,Student782,68,78
783,Student783,89,78
784,Student784,78,70
785,Student785,57,78
786,Student786,92,70
787,Student787,100,79
788,Student788,96,77
789,Student789,84,66
790,Student790,71,63
791,Student791,52,68
792,Student792,100,64
793,Student793,79,80
794,Student794,57,63
795,Student795,57,88
796,Student796,96,90
797,Student797,90,88
798,Student798,95,53
799,Student799,66,95
800,Student800,95,92
801,Student801,60,56
802,Student802,50,50
803,Student803,82,83
804,Student804,56,57
805,Student805,84,58
806,Student806,74,96
807,Student807,96,64
808,Student808,100,82
809,Student809,79,75
810,Student810,56,92
811,Student811,77,77
812,Student812,58,60
813,Student813,65,87
814,Student814,95,54
815,Student815,66,59
816,Student816,61,97
817,Student817,73,58
818,Student818,63,80
819,Student819,66,92
820,Student820,65,57
821,Student821,100,71
822,Student822,86,96
823,Student823,53,84
824,Student824,95,95
825,Student825,69,80
826,Student826,78,67
827,Student827,50,85
828,Student828,98,65
829,Student829,77,70
830,Student830,65,66
831,Student831,53,75
832,Student832,54,61
833,Student833,55,100
834,Student834,66,74
835,Student835,60,90
836,Student836,84,60
837,Student837,66,72
838,Student838,95,99
839,Student839,88,77
840,Student840,76,51
841,Student841,99,74
842,Student842,97,53
843,Student843,56,99
844,Student844,52,94
845,Student845,84,55
846,Student846,60,62
847,Student847,63,92
848,Student848,86,66
849,Student849,64,58
850,Student850,79,73
851,Student851,93,98
852,Student852,53,93
853,Student853,99,98
854,Student854,99,81
855,Student855,93,57
856,Student856,73,90
857,Student857,74,92
858,Student858,80,83
859,Student859,100,55
860,Student860,70,53
861,Student861,72,92
862,Student862,83,64
863,Student863,88,66
864,Student864,54,52
865,Student865,74,71
866,Student866,97,78
867,Student867,96,96
868,Student868,86,56
869,Student869,72,53
870,Student870,89,92
871,Student871,100,83
872,Student872,90,67
873,Student873,70,66
874,Student874,99,81
875,Student875,68,62
876,Student876,79,84
877,Student877,70,84
878,Student878,78,92
879,Student879,58,56
880,Student880,92,73
881,Student881,96,86
882,Student882,79,74
883,Student883,92,67
884,Student884,99,51
885,Student885,78,64
886,Student886,78,51
887,Student887,90,51
888,Student888,97,62
889,Student889,77,54
890,Student890,52,77
891,Student891,64,55
892,Student892,51,97
893,Student893,55,99
894,Student894,64,67
895,Student895,62,91
896,Student896,97,73
897,Student897,69,82
898,Student898,68,65
899,Student899,63,50
900,Student900,71,72
901,Student901,65,52
902,Student902,69,97
903,Student903,56,80
904,Student904,82,53
905,Student905,89,66
906,Student906,71,73
907,Student907,77,63
908,Student908,72,99
909,Student909,78,59
910,Student910,67,85
911,Student911,81,50
912,Student912,62,82
913,Student913,68,80
914,Student914,66,91
915,Student915,64,87
916,Student916,55,82
917,Student917,56,54
918,Student918,62,81
919,Student919,77,67
920,Student920,59,98
921,Student921,50,85
922,Student922,83,57
923,Student923,65,74
924,Student924,73,80
925,Student925,62,87
926,Student926,70,60
927,Student927,73,50
928,Student928,77,69
929,Student929,84,56
930,Student930,51,86
931,Student931,71,98
932,Student932,86,98
933,Student933,50,80
934,Student934,90,58
935,Student935,82,68
936,Student936,72,60
937,Student937,96,98
938,Student938,79,72
939,Student939,91,80
940,Student940,89,50
941,Student941,96,69
942,Student942,69,80
943,Student943,78,57
944,Student944,61,78
945,Student945,77,59
946,Student946,65,83
947,Student947,100,55
948,Student948,52,52
949,Student949,55,55
950,Student950,59,54
951,Student951,79,93
952,Student952,50,54
953,Student953,82,64
954,Student954,73,85
955,Student955,78,71
956,Student956,81,95
957,Student957,62,99
958,Student958,87,90
959,Student959,77,88
960,Student960,62,97
961,Student961,72,51
962,Student962,96,50
963,Student963,84,55
964,Student964,77,75
965,Student965,84,91
966,Student966,70,90
967,Student967,65,73
968,Student968,57,60
969,Student969,80,77
970,Student970,87,100
971,Student971,97,89
972,Student972,100,85
973,Student973,57,85
974,Student974,95,90
975,Student975,54,73
976,Student976,72,54
977,Student977,71,59
978,Student978,72,86
979,Student979,94,65
980,Student980,60,53
981,Student981,91,76
982,Student982,54,71
983,Student983,82,72
984,Student984,52,77
985,Student985,66,55
986,Student986,67,91
987,Student987,74,53
988,Student988,99,78
989,Student989,80,95
990,Student990,84,54
991,Student991,64,82
992,Student992,51,52
993,Student993,76,89
994,Student994,87,52
995,Student995,72,97
996,Student996,53,72
997,Student997,76,79
998,Student998,69,75
999,Student999,72,53
1000,Student1000,91,67
1001,Student1001,72,55
1002,Student1002,65,54
1003,Student1003,80,95
1004,Student1004,71,73
1005,Student1005,97,74
1006,Student1006,75,70
1007,Student1007,63,91
1008,Student1008,64,81
1009,Student1009,81,80
1010,Student1010,70,71
1011,Student1011,92,78
1012,Student1012,62,82
1013,Student1013,72,69
1014,Student1014,74,93
1015,Student1015,76,74
1016,Student1016,53,98
1017,Student1017,95,97
1018,Student1018,81,82
1019,Student1019,59,72
1020,Student1020,91,86
1021,Student1021,93,88
1022,Student1022,60,67
1023,Student1023,78,64
1024,Student1024,93,66
1025,Student1025,96,97
1026,Student1026,84,67
1027,Student1027,97,55
1028,Student1028,78,63
1029,Student1029,75,60
1030,Student1030,91,65
1031,Student1031,86,68
1032,Student1032,59,81
1033,Student1033,73,85
1034,Student1034,51,70
1035,Student1035,83,82
1036,Student1036,89,97
1037,Student1037,79,87
1038,Student1038,58,91
1039,Student1039,62,93
1040,Student1040,62,64
1041,Student1041,81,62
1042,Student1042,96,72
1043,Student1043,51,67
1044,Student1044,57,52
1045,Student1045,71,78
1046,Student1046,95,96
1047,Student1047,57,93
1048,Student1048,85,86
1049,Student1049,83,100
1050,Student1050,94,68
1051,Student1051,64,51
1052,Student1052,74,54
1053,Student1053,78,60
1054,Student1054,58,84
1055,Student1055,66,62
1056,Student1056,55,58
1057,Student1057,80,92
1058,Student1058,68,60
1059,Student1059,98,71
1060,Student1060,80,63
1061,Student1061,53,76
1062,Student1062,69,75
1063,Student1063,100,83
1064,Student1064,53,78
1065,Student1065,100,88
1066,Student1066,71,91
1067,Student1067,97,84
1068,Student1068,60,89
1069,Student1069,88,75
1070,Student1070,86,93
1071,Student1071,52,91
1072,Student1072,62,98
1073,Student1073,50,74
1074,Student1074,64,55
1075,Student1075,57,70
1076,Student1076,58,54
1077,Student1077,61,81
1078,Student1078,60,84
1079,Student1079,89,78
1080,Student1080,98,57
1081,Student1081,84,88
1082,Student1082,88,63
1083,Student1083,57,81
1084,Student1084,51,63
1085,Student1085,86,94
1086,Student1086,91,86
1087,Student1087,51,52
1088,Student1088,78,97
1089,Student1089,65,99
1090,Student1090,63,61
1091,Student1091,72,66
1092,Student1092,59,91
1093,Student1093,79,83
1094,Student1094,98,86
1095,Student1095,51,87
1096,Student1096,73,93
1097,Student1097,93,83
1098,Student1098,61,78
1099,Student1099,65,94
1100,Student1100,67,76
1101,Student1101,96,79
1102,Student1102,74,92
1103,Student1103,74,87
1104,Student1104,91,92
1105,Student1105,74,67
1106,Student1106,66,81
1107,Student1107,55,71
1108,Student1108,78,92
1109,Student1109,62,92
1110,Student1110,67,64
1111,Student1111,62,55
1112,Student1112,97,69
1113,Student1113,64,63
1114,Student1114,70,57
1115,Student1115,58,67
1116,Student1116,69,97
1117,Student1117,70,50
1118,Student1118,58,58
1119,Student1119,63,71
1120,Student1120,73,59
1121,Student1121,53,64
1122,Student1122,55,84
1123,Student1123,91,96
1124,Student1124,82,74
1125,Student1125,74,69
1126,Student1126,71,75
1127,Student1127,71,90
1128,Student1128,64,94
1129,Student1129,50,60
1130,Student1130,53,50
1131,Student1131,89,60
1132,Student1132,79,54
1133,Student1133,97,54
1134,Student1134,91,93
1135,Student1135,52,99
1136,Student1136,68,83
1137,Student1137,90,67
1138,Student1138,63,90
1139,Student1139,85,70
1140,Student1140,53,71
1141,Student1141,62,96
1142,Student1142,78,76
1143,Student1143,79,75
1144,Student1144,52,54
1145,Student1145,96,74
1146,Student1146,52,71
1147,Student1147,70,85
1148,Student1148,80,96
1149,Student1149,87,71
1150,Student1150,90,55
1151,Student1151,95,55
1152,Student1152,98,87
1153,Student1153,58,99
1154,Student1154,57,66
1155,Student1155,83,65
1156,Student1156,76,90
1157,Student1157,58,97
1158,Student1158,78,67
1159,Student1159,61,82
1160,Student1160,62,58
1161,Student1161,61,94
1162,Student1162,84,99
1163,Student1163,66,74
1164,Student1164,71,52
1165,Student1165,99,95
1166,Student1166,65,76
1167,Student1167,82,76
1168,Student1168,84,94
1169,Student1169,65,82
1170,Student1170,100,87
1171,Student1171,54,98
1172,Student1172,90,56
1173,Student1173,80,73
1174,Student1174,91,100
1175,Student1175,63,75
1176,Student1176,71,67
1177,Student1177,96,61
1178,Student1178,80,79
1179,Student1179,54,78
1180,Student1180,80,60
1181,Student1181,83,97
1182,Student1182,96,81
1183,Student1183,90,50
1184,Student1184,68,92
1185,Student1185,79,53
1186,Student1186,60,60
1187,Student1187,80,52
1188,Student1188,83,90
1189,Student1189,78,84
1190,Student1190,83,80
1191,Student1191,91,88
1192,Student1192,57,92
1193,Student1193,82,90
1194,Student1194,87,77
1195,Student1195,100,81
1196,Student1196,65,54
1197,Student1197,73,58
1198,Student1198,59,61
1199,Student1199,99,59
1200,Student1200,98,56
1201,Student1201,76,59
1202,Student1202,51,84
1203,Student1203,70,52
1204,Student1204,96,57
1205,Student1205,88,71
1206,Student1206,68,93
1207,Student1207,83,63
1208,Student1208,61,51
1209,Student1209,80,95
1210,Student1210,96,53
1211,Student1211,84,65
1212,Student1212,65,71
1213,Student1213,74,78
1214,Student1214,83,54
1215,Student1215,65,60
1216,Student1216,92,96
1217,Student1217,76,84
1218,Student1218,93,93
1219,Student1219,64,84
1220,Student1220,51,79
1221,Student1221,89,79
1222,Student1222,74,76
1223,Student1223,77,63
1224,Student1224,59,81
1225,Student1225,72,75
1226,Student1226,62,75
1227,Student1227,70,62
1228,Student1228,100,88
1229,Student1229,86,97
1230,Student1230,53,93
1231,Student1231,84,84
1232,Student1232,52,74
1233,Student1233,59,53
1234,Student1234,98,62
1235,Student1235,66,96
1236,Student1236,80,72
1237,Student1237,88,76
1238,Student1238,91,58
1239,Student1239,53,76
1240,Student1240,80,94
1241,Student1241,98,91
1242,Student1242,65,91
1243,Student1243,77,65
1244,Student1244,77,79
1245,Student1245,59,79
1246,Student1246,76,88
1247,Student1247,96,82
1248,Student1248,85,58
1249,Student1249,52,68
1250,Student1250,89,72
1251,Student1251,65,73
1252,Student1252,55,73
1253,Student1253,92,66
1254,Student1254,66,53
1255,Student1255,96,60
1256,Student1256,67,82
1257,Student1257,50,85
1258,Student1258,68,72
1259,Student1259,83,83
1260,Student1260,81,68
1261,Student1261,58,64
1262,Student1262,71,50
1263,Student1263,69,59
1264,Student1264,68,94
1265,Student1265,58,84
1266,Student1266,84,67
1267,Student1267,70,70
1268,Student1268,87,100
1269,Student1269,52,65
1270,Student1270,60,82
1271,Student1271,50,89
1272,Student1272,88,79
1273,Student1273,99,58
1274,Student1274,75,82
1275,Student1275,100,73
1276,Student1276,71,65
1277,Student1277,91,62
1278,Student1278,88,83
1279,Student1279,63,69
1280,Student1280,70,55
1281,Student1281,50,58
1282,Student1282,96,91
1283,Student1283,99,55
1284,Student1284,60,79
1285,Student1285,76,52
1286,Student1286,51,54
1287,Student1287,81,71
1288,Student1288,79,89
1289,Student1289,78,68
1290,Student1290,68,54
1291,Student1291,66,63
1292,Student1292,62,68
1293,Student1293,71,74
1294,Student1294,81,70
1295,Student1295,82,72
1296,Student1296,87,96
1297,Student1297,52,68
1298,Student1298,85,58
1299,Student1299,66,81
1300,Student1300,67,56
1301,Student1301,57,63
1302,Student1302,56,78
1303,Student1303,97,90
1304,Student1304,95,68
1305,Student1305,76,97
1306,Student1306,55,99
1307,Student1307,61,100
1308,Student1308,51,71
1309,Student1309,76,52
1310,Student1310,87,90
1311,Student1311,87,88
1312,Student1312,74,88
1313,Student1313,75,99
1314,Student1314,85,56
1315,Student1315,56,95
1316,Student1316,53,97
1317,Student1317,79,91
1318,Student1318,90,78
1319,Student1319,71,93
1320,Student1320,55,59
1321,Student1321,62,63
1322,Student1322,82,96
1323,Student1323,91,97
1324,Student1324,72,78
1325,Student1325,65,51
1326,Student1326,78,53
1327,Student1327,51,59
1328,Student1328,77,89
1329,Student1329,50,97
1330,Student1330,91,52
1331,Student1331,61,92
